filename,classification
SNUADC_ART_101_flushes_0.png,not_flush
SNUADC_ART_101_flushes_1.png,not_flush
SNUADC_ART_101_flushes_10.png,not_flush
SNUADC_ART_101_flushes_11.png,flush
SNUADC_ART_101_flushes_12.png,flush
SNUADC_ART_101_flushes_13.png,flush
SNUADC_ART_101_flushes_14.png,flush
SNUADC_ART_101_flushes_15.png,not_flush
SNUADC_ART_101_flushes_16.png,not_flush
SNUADC_ART_101_flushes_17.png,not_flush
SNUADC_ART_101_flushes_2.png,flush
SNUADC_ART_101_flushes_3.png,flush
SNUADC_ART_101_flushes_4.png,flush
SNUADC_ART_101_flushes_5.png,not_flush
SNUADC_ART_101_flushes_6.png,not_flush
SNUADC_ART_101_flushes_7.png,not_flush
SNUADC_ART_101_flushes_8.png,not_flush
SNUADC_ART_101_flushes_9.png,not_flush
SNUADC_ART_103_flushes_0.png,flush
SNUADC_ART_103_flushes_1.png,not_flush
SNUADC_ART_103_flushes_2.png,not_flush
SNUADC_ART_103_flushes_3.png,flush
SNUADC_ART_103_flushes_4.png,flush
SNUADC_ART_103_flushes_5.png,flush
SNUADC_ART_103_flushes_6.png,not_flush
SNUADC_ART_103_flushes_7.png,not_flush
SNUADC_ART_104_flushes_0.png,not_flush
SNUADC_ART_104_flushes_1.png,flush
SNUADC_ART_104_flushes_2.png,flush
SNUADC_ART_104_flushes_3.png,not_flush
SNUADC_ART_104_flushes_4.png,flush
SNUADC_ART_105_flushes_0.png,not_flush
SNUADC_ART_105_flushes_1.png,not_flush
SNUADC_ART_105_flushes_2.png,flush
SNUADC_ART_105_flushes_3.png,not_flush
SNUADC_ART_105_flushes_4.png,not_flush
SNUADC_ART_105_flushes_5.png,flush
SNUADC_ART_105_flushes_6.png,not_flush
SNUADC_ART_105_flushes_7.png,not_flush
SNUADC_ART_108_flushes_0.png,not_flush
SNUADC_ART_108_flushes_1.png,not_flush
SNUADC_ART_108_flushes_2.png,not_flush
SNUADC_ART_108_flushes_3.png,not_flush
SNUADC_ART_10_flushes_0.png,flush
SNUADC_ART_10_flushes_1.png,flush
SNUADC_ART_10_flushes_10.png,not_flush
SNUADC_ART_10_flushes_11.png,not_flush
SNUADC_ART_10_flushes_12.png,not_flush
SNUADC_ART_10_flushes_13.png,not_flush
SNUADC_ART_10_flushes_14.png,not_flush
SNUADC_ART_10_flushes_15.png,not_flush
SNUADC_ART_10_flushes_16.png,not_flush
SNUADC_ART_10_flushes_17.png,not_flush
SNUADC_ART_10_flushes_18.png,not_flush
SNUADC_ART_10_flushes_19.png,not_flush
SNUADC_ART_10_flushes_2.png,not_flush
SNUADC_ART_10_flushes_20.png,not_flush
SNUADC_ART_10_flushes_21.png,not_flush
SNUADC_ART_10_flushes_3.png,not_flush
SNUADC_ART_10_flushes_4.png,not_flush
SNUADC_ART_10_flushes_5.png,not_flush
SNUADC_ART_10_flushes_6.png,not_flush
SNUADC_ART_10_flushes_7.png,flush
SNUADC_ART_10_flushes_8.png,flush
SNUADC_ART_10_flushes_9.png,flush
SNUADC_ART_110_flushes_0.png,flush
SNUADC_ART_110_flushes_1.png,flush
SNUADC_ART_111_flushes_0.png,not_flush
SNUADC_ART_111_flushes_1.png,flush
SNUADC_ART_111_flushes_10.png,not_flush
SNUADC_ART_111_flushes_11.png,flush
SNUADC_ART_111_flushes_12.png,flush
SNUADC_ART_111_flushes_13.png,not_flush
SNUADC_ART_111_flushes_14.png,flush
SNUADC_ART_111_flushes_15.png,not_flush
SNUADC_ART_111_flushes_16.png,flush
SNUADC_ART_111_flushes_17.png,not_flush
SNUADC_ART_111_flushes_18.png,flush
SNUADC_ART_111_flushes_19.png,not_flush
SNUADC_ART_111_flushes_2.png,not_flush
SNUADC_ART_111_flushes_20.png,flush
SNUADC_ART_111_flushes_21.png,not_flush
SNUADC_ART_111_flushes_22.png,flush
SNUADC_ART_111_flushes_23.png,not_flush
SNUADC_ART_111_flushes_24.png,flush
SNUADC_ART_111_flushes_25.png,not_flush
SNUADC_ART_111_flushes_26.png,flush
SNUADC_ART_111_flushes_27.png,not_flush
SNUADC_ART_111_flushes_28.png,flush
SNUADC_ART_111_flushes_29.png,not_flush
SNUADC_ART_111_flushes_3.png,flush
SNUADC_ART_111_flushes_30.png,flush
SNUADC_ART_111_flushes_31.png,not_flush
SNUADC_ART_111_flushes_32.png,flush
SNUADC_ART_111_flushes_33.png,flush
SNUADC_ART_111_flushes_34.png,not_flush
SNUADC_ART_111_flushes_35.png,flush
SNUADC_ART_111_flushes_36.png,not_flush
SNUADC_ART_111_flushes_37.png,flush
SNUADC_ART_111_flushes_38.png,not_flush
SNUADC_ART_111_flushes_39.png,flush
SNUADC_ART_111_flushes_4.png,not_flush
SNUADC_ART_111_flushes_5.png,flush
SNUADC_ART_111_flushes_6.png,not_flush
SNUADC_ART_111_flushes_7.png,flush
SNUADC_ART_111_flushes_8.png,not_flush
SNUADC_ART_111_flushes_9.png,flush
SNUADC_ART_112_flushes_0.png,not_flush
SNUADC_ART_112_flushes_1.png,not_flush
SNUADC_ART_112_flushes_2.png,not_flush
SNUADC_ART_112_flushes_3.png,not_flush
SNUADC_ART_112_flushes_4.png,flush
SNUADC_ART_112_flushes_5.png,not_flush
SNUADC_ART_112_flushes_6.png,flush
SNUADC_ART_114_flushes_0.png,not_flush
SNUADC_ART_114_flushes_1.png,not_flush
SNUADC_ART_114_flushes_10.png,not_flush
SNUADC_ART_114_flushes_2.png,not_flush
SNUADC_ART_114_flushes_3.png,flush
SNUADC_ART_114_flushes_4.png,flush
SNUADC_ART_114_flushes_5.png,not_flush
SNUADC_ART_114_flushes_6.png,flush
SNUADC_ART_114_flushes_7.png,not_flush
SNUADC_ART_114_flushes_8.png,not_flush
SNUADC_ART_114_flushes_9.png,not_flush
SNUADC_ART_116_flushes_0.png,flush
SNUADC_ART_116_flushes_1.png,flush
SNUADC_ART_116_flushes_2.png,flush
SNUADC_ART_117_flushes_0.png,flush
SNUADC_ART_117_flushes_1.png,not_flush
SNUADC_ART_117_flushes_2.png,not_flush
SNUADC_ART_117_flushes_3.png,not_flush
SNUADC_ART_117_flushes_4.png,not_flush
SNUADC_ART_118_flushes_0.png,not_flush
SNUADC_ART_118_flushes_1.png,not_flush
SNUADC_ART_118_flushes_10.png,flush
SNUADC_ART_118_flushes_11.png,not_flush
SNUADC_ART_118_flushes_12.png,flush
SNUADC_ART_118_flushes_13.png,flush
SNUADC_ART_118_flushes_14.png,flush
SNUADC_ART_118_flushes_15.png,not_flush
SNUADC_ART_118_flushes_16.png,flush
SNUADC_ART_118_flushes_2.png,not_flush
SNUADC_ART_118_flushes_3.png,not_flush
SNUADC_ART_118_flushes_4.png,not_flush
SNUADC_ART_118_flushes_5.png,flush
SNUADC_ART_118_flushes_6.png,not_flush
SNUADC_ART_118_flushes_7.png,flush
SNUADC_ART_118_flushes_8.png,flush
SNUADC_ART_118_flushes_9.png,not_flush
SNUADC_ART_119_flushes_0.png,not_flush
SNUADC_ART_119_flushes_1.png,not_flush
SNUADC_ART_119_flushes_2.png,not_flush
SNUADC_ART_119_flushes_3.png,not_flush
SNUADC_ART_119_flushes_4.png,not_flush
SNUADC_ART_119_flushes_5.png,not_flush
SNUADC_ART_119_flushes_6.png,not_flush
SNUADC_ART_119_flushes_7.png,not_flush
SNUADC_ART_119_flushes_8.png,flush
SNUADC_ART_124_flushes_0.png,not_flush
SNUADC_ART_124_flushes_1.png,flush
SNUADC_ART_125_flushes_0.png,not_flush
SNUADC_ART_126_flushes_0.png,not_flush
SNUADC_ART_126_flushes_1.png,flush
SNUADC_ART_126_flushes_2.png,not_flush
SNUADC_ART_126_flushes_3.png,not_flush
SNUADC_ART_126_flushes_4.png,not_flush
SNUADC_ART_126_flushes_5.png,not_flush
SNUADC_ART_126_flushes_6.png,not_flush
SNUADC_ART_128_flushes_0.png,not_flush
SNUADC_ART_128_flushes_1.png,not_flush
SNUADC_ART_128_flushes_2.png,not_flush
SNUADC_ART_128_flushes_3.png,not_flush
SNUADC_ART_128_flushes_4.png,not_flush
SNUADC_ART_128_flushes_5.png,flush
SNUADC_ART_128_flushes_6.png,not_flush
SNUADC_ART_128_flushes_7.png,not_flush
SNUADC_ART_128_flushes_8.png,flush
SNUADC_ART_12_flushes_0.png,not_flush
SNUADC_ART_12_flushes_1.png,not_flush
SNUADC_ART_12_flushes_10.png,not_flush
SNUADC_ART_12_flushes_11.png,not_flush
SNUADC_ART_12_flushes_12.png,not_flush
SNUADC_ART_12_flushes_13.png,not_flush
SNUADC_ART_12_flushes_2.png,flush
SNUADC_ART_12_flushes_3.png,flush
SNUADC_ART_12_flushes_4.png,not_flush
SNUADC_ART_12_flushes_5.png,flush
SNUADC_ART_12_flushes_6.png,flush
SNUADC_ART_12_flushes_7.png,flush
SNUADC_ART_12_flushes_8.png,flush
SNUADC_ART_12_flushes_9.png,not_flush
SNUADC_ART_130_flushes_0.png,not_flush
SNUADC_ART_130_flushes_1.png,not_flush
SNUADC_ART_130_flushes_10.png,flush
SNUADC_ART_130_flushes_2.png,flush
SNUADC_ART_130_flushes_3.png,flush
SNUADC_ART_130_flushes_4.png,not_flush
SNUADC_ART_130_flushes_5.png,flush
SNUADC_ART_130_flushes_6.png,flush
SNUADC_ART_130_flushes_7.png,flush
SNUADC_ART_130_flushes_8.png,flush
SNUADC_ART_130_flushes_9.png,flush
SNUADC_ART_132_flushes_0.png,flush
SNUADC_ART_132_flushes_1.png,not_flush
SNUADC_ART_132_flushes_10.png,not_flush
SNUADC_ART_132_flushes_11.png,not_flush
SNUADC_ART_132_flushes_12.png,not_flush
SNUADC_ART_132_flushes_2.png,flush
SNUADC_ART_132_flushes_3.png,not_flush
SNUADC_ART_132_flushes_4.png,not_flush
SNUADC_ART_132_flushes_5.png,flush
SNUADC_ART_132_flushes_6.png,not_flush
SNUADC_ART_132_flushes_7.png,flush
SNUADC_ART_132_flushes_8.png,not_flush
SNUADC_ART_132_flushes_9.png,not_flush
SNUADC_ART_135_flushes_0.png,flush
SNUADC_ART_135_flushes_1.png,flush
SNUADC_ART_135_flushes_2.png,flush
SNUADC_ART_136_flushes_0.png,not_flush
SNUADC_ART_136_flushes_1.png,not_flush
SNUADC_ART_136_flushes_10.png,flush
SNUADC_ART_136_flushes_2.png,not_flush
SNUADC_ART_136_flushes_3.png,not_flush
SNUADC_ART_136_flushes_4.png,not_flush
SNUADC_ART_136_flushes_5.png,not_flush
SNUADC_ART_136_flushes_6.png,flush
SNUADC_ART_136_flushes_7.png,not_flush
SNUADC_ART_136_flushes_8.png,not_flush
SNUADC_ART_136_flushes_9.png,not_flush
SNUADC_ART_137_flushes_0.png,not_flush
SNUADC_ART_137_flushes_1.png,not_flush
SNUADC_ART_137_flushes_2.png,flush
SNUADC_ART_137_flushes_3.png,not_flush
SNUADC_ART_137_flushes_4.png,not_flush
SNUADC_ART_137_flushes_5.png,not_flush
SNUADC_ART_137_flushes_6.png,not_flush
SNUADC_ART_138_flushes_0.png,not_flush
SNUADC_ART_138_flushes_1.png,not_flush
SNUADC_ART_13_flushes_0.png,not_flush
SNUADC_ART_13_flushes_1.png,not_flush
SNUADC_ART_13_flushes_2.png,not_flush
SNUADC_ART_13_flushes_3.png,flush
SNUADC_ART_140_flushes_0.png,not_flush
SNUADC_ART_140_flushes_1.png,not_flush
SNUADC_ART_140_flushes_10.png,not_flush
